country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name,env_ssp_country_code,env_ssp_country_name
"ABW",55,"XCB","Rest of Caribbean","Aruba",53,"XCB","Rest of Caribbean","Aruba","ABW","Aruba"
"AFG",21,"AFG","Afghanistan","Afghanistan",26,"XSA","Rest of South Asia","Afghanistan","AFG","Afghanistan, The Islamic Republic of"
"AGO",140,"XAC","Rest of South and Central Africa","Angola",124,"XAC","South Central Africa","Angola","AGO","Angola, The Republic of"
"AIA",55,"XCB","Rest of Caribbean","Anguilla",53,"XCB","Rest of Caribbean","Anguilla","AIA","Anguilla"
"ALB",87,"ALB","Albania","Albania",85,"ALB","Albania","Albania","ALB","Albania, The Republic of"
"AND",93,"XER","Rest of Europe","Andorra",90,"XER","Rest of Europe","Andorra","AND","Andorra, The Principality of"
"ARE",115,"ARE","United Arab Emirates","United Arab Emirates",107,"ARE","United Arab Emirates","United Arab Emirates","ARE","United Arab Emirates, The"
"ARG",32,"ARG","Argentina","Argentina",31,"ARG","Argentina","Argentina","ARG","Argentine Republic, The"
"ARM",99,"ARM","Armenia","Armenia",95,"ARM","Armenia","Armenia","ARM","Armenia, The Republic of"
"ASM",3,"XOC","Rest of Oceania","American Samoa",3,"XOC","Rest of Oceania","American Samoa","ASM","American Samoa"
"ATG",55,"XCB","Rest of Caribbean","Antigua and Barbuda",53,"XCB","Rest of Caribbean","Antigua and Barbuda","ATG","Antigua and Barbuda"
"AUS",1,"AUS","Australia","Australia",1,"AUS","Australia","Australia","AUS","Australia"
"AUT",56,"AUT","Austria","Austria",54,"AUT","Austria","Austria","AUT","Austria, The Republic of"
"AZE",100,"AZE","Azerbaijan","Azerbaijan",96,"AZE","Azerbaijan","Azerbaijan","AZE","Azerbaijan, The Republic of"
"BDI",154,"XEC","Rest of Eastern Africa","Burundi",136,"XEC","Rest of Eastern Africa","Burundi","BDI","Burundi, The Republic of"
"BEL",57,"BEL","Belgium","Belgium",55,"BEL","Belgium","Belgium","BEL","Belgium, The Kingdom of"
"BEN",122,"BEN","Benin","Benin",113,"BEN","Benin","Benin","BEN","Benin, The Republic of"
"BES",55,"XCB","Rest of Caribbean","Bonaire, Sint Eustatius and Saba",53,"XCB","Rest of Caribbean","Netherlands Antilles","ANT","Netherland Antilles"
"BFA",123,"BFA","Burkina Faso","Burkina Faso",114,"BFA","Burkina Faso","Burkina Faso","BFA","Burkina Faso"
"BGD",22,"BGD","Bangladesh","Bangladesh",21,"BGD","Bangladesh","Bangladesh","BGD","Bangladesh, The People's Republic of"
"BGR",58,"BGR","Bulgaria","Bulgaria",56,"BGR","Bulgaria","Bulgaria","BGR","Bulgaria, The Republic of Bulgaria"
